,loc
1783,"48.842981,2.383223"
1784,"48.840379,2.407611"
1785,"48.867500495,2.306092074"
1786,"48.899786,2.372211"
1787,"48.873873,2.306198"
1788,"48.823648838,2.322399031"
1789,"48.852850322,2.360027044"
1790,"48.851801,2.367732"
1791,"48.875086,2.290301"
1792,"48.850233,2.387379"
1793,"48.886917,2.355589"
1794,"48.820104,2.339695"
1795,"48.841904,2.298185"
1796,"48.842417,2.294387"
1797,"48.853829,2.378646"
1798,"48.869756,2.382084"
1799,"48.845405,2.310582"
1800,"48.822061,2.330259"
1801,"48.830797,2.399197"
1802,"48.851703,2.33721"
1803,"48.829777,2.305222"
1804,"48.839567,2.337612"
1805,"48.891802303,2.318750667"
1806,"48.853592,2.409564"
1807,"48.83461,2.389631"
1808,"48.822529,2.346722"
1809,"48.843605,2.263382"
1810,"48.86842,2.274573"
1811,"48.849292,2.389991"
1812,"48.863881,2.372131"
1813,"48.851582,2.311989"
1814,"48.818292,2.363376"
1815,"48.842966,2.414489"
1816,"48.847242,2.377702"
1817,"48.882173,2.39567"
1818,"48.828984292,2.332205809"
1819,"48.861901,2.311641"
1820,"48.828506,2.307951"
1821,"48.845679367,2.371039387"
1822,"48.831738837,2.27787188"
1823,"48.83457,2.389656"
1824,"48.834587,2.389791"
1825,"48.867122,2.487937"
1826,"48.871757,2.280898"
1827,"48.952083,2.304225"
1828,"48.951586,2.912511"
1829,"48.830818,2.399165"
1830,"48.858755,2.347449"
1831,"48.834337,2.389629"
1832,"48.836157,2.260798"
1833,"48.862583,2.286825"
1834,"48.731058,2.304146"
1835,"48.834479,2.389738"
1836,"48.883172,2.394036"
1837,"48.874563,2.393039"
1838,"48.863357,2.405435"
1839,"48.830839,2.399239"
1840,"48.873937,2.405311"
1841,"48.911449,2.36237"
1842,"48.848955,2.356015"
1843,"48.853735,2.2878"
1844,"48.841057,2.354595"
1845,"48.837226,2.262175"
1846,"48.834522,2.389762"
1847,"48.791033,2.654569"
1848,"48.824136,2.352965"
1849,"48.872781,2.399402"
1850,"48.83464,2.389734"
1851,"48.843643,2.263311"
1852,"48.834678,2.400999"
1853,"48.860736,2.282319"
1854,"48.860501,2.291281"
1855,"48.842391,2.289536"
1856,"48.8950284,2.3214429"
1857,"48.873209,2.283463"
1858,"48.827695,2.272258"
1859,"48.834241,2.389567"
1860,"48.947499,2.358225"
1861,"48.86438,2.391167"
1862,"48.845258,2.297868"
1863,"48.877509,2.476965"
1864,"48.973765,2.05832"
1865,"48.953215,2.328631"
1866,"48.846751,2.278518"
1867,"48.844591,2.373215"
1868,"48.823038,2.304496"
1869,"48.907861,2.386547"
1870,"48.885171,2.32499"
1871,"48.859473,2.404334"
1872,"48.853941,2.349385"
1873,"48.928376,2.36132"
1874,"48.864312,2.290329"
1875,"48.824131,2.367502"
1876,"48.824121,2.370608"
1877,"48.834309,2.389964"
1878,"48.863481,2.347993"
1879,"48.860309,2.353206"
1880,"48.86242,2.40608"
1881,"48.860644,2.298699"
1882,"48.843207,2.281259"
1883,"48.878736,2.397832"
1884,"48.83452,2.389744"
1885,"48.869063,2.271833"
1886,"48.8343233,2.3897194"
1887,"48.834525,2.389806"
1888,"48.970891,2.064349"
1889,"48.836367,2.312155"
1890,"48.888595,2.346503"
1891,"48.94573,2.284196"
1892,"48.836309,2.402934"
1893,"48.86229,2.383367"
1894,"48.940021,2.294331"
1895,"48.834486,2.389555"
1896,"48.806683,2.399763"
1897,"48.874172,2.376192"
1898,"48.835876,2.350096"
1899,"48.852825,2.338135"
1900,"48.848921,2.358957"
1901,"48.823898,2.306827"
1902,"48.878833,2.303713"
1903,"48.822825,2.364449"
1904,"48.872994,2.291547"
1905,"48.890379,2.34878"
1906,"48.893235,2.316809"
1907,"48.834429,2.389719"
1908,"48.8322853,2.3884057"
1909,"48.829761,2.300013"
1910,"48.843265,2.264834"
1911,"48.830569,2.408243"
1912,"48.828688,2.295943"
1913,"48.859865,2.374509"
1914,"48.925925,2.230236"
1915,"48.8344169,2.3895086"
1916,"48.828301,2.316807"
1917,"48.834424,2.389748"
1918,"48.830147227,2.319980508"
1919,"48.846279113,2.279147794"
1920,"48.834466,2.389635"
1921,"48.843094,2.29863"
1922,"48.831613,2.277874"
1923,"49.049363,2.412006"
1924,"48.862955,2.402215"
1925,"48.834321,2.389599"
1926,"48.859001,2.286869"
1927,"48.881615,2.292326"
1928,"48.882629,2.336235"
1929,"48.882609,2.345624"
1930,"48.855588034,2.333601564"
1931,"48.872991,2.346823"
1932,"48.825458,2.367148"
1933,"48.870651,2.358542"
1934,"48.834328,2.389922"
1935,"48.870597,2.332464"
1936,"48.846886,2.268522"
1937,"48.834952,2.354954"
1938,"48.87869,2.28417"
1939,"48.872413,2.333566"
1940,"48.832785,2.351197"
1941,"48.838008,2.370377"
1942,"48.875397,2.359036"
1943,"48.859819724,2.296635653"
1944,"48.854673,2.28353"
1945,"48.846252,2.314284"
1946,"48.825291,2.314253"
1947,"48.864082254,2.406911596"
1948,"48.859487,2.274674"
1949,"48.886593,2.332962"
1950,"48.832813,2.38663"
1951,"48.894545,2.319667"
1952,"48.841475,2.391226"
1953,"48.836583,2.320071"
1954,"48.860878,2.315024"
1955,"48.856602,2.409213"
1956,"48.888134,2.296265"
1957,"48.883314,2.330113"
1958,"48.827873,2.366773"
1959,"48.859145,2.286978"
1960,"48.885106,2.290996"
1961,"48.827084,2.374789"
1962,"48.848498,2.260509"
1963,"48.8516983,2.3145759"
1964,"48.828734,2.369806"
1965,"48.88048,2.288971"
1966,"48.885695,2.386863"
1967,"48.827807,2.366782"
1968,"48.864851,2.407516"
1969,"48.846447,2.28307"
1970,"48.82848,2.307932"
1971,"48.898658,2.223658"
1972,"48.855985,2.785904"
1973,"48.834422,2.389456"
1974,"48.8720236,2.3384214"
1975,"48.869229,2.310828"
1976,"48.88653,2.332842"
1977,"48.831141,2.305347"
1978,"48.834326,2.389563"
1979,"48.871787,2.280826"
1980,"48.830103,2.334944"
1981,"48.8349417,2.2889946"
1982,"48.834347,2.389889"
1983,"48.834361,2.389171"
1984,"48.8933786,2.3171597"
1985,"48.832704,2.269452"
1986,"48.928275,2.361636"
1987,"48.819524,2.348264"
1988,"48.8486,2.263736"
1989,"48.869223,2.27181"
1990,"48.8343912,2.3896066"
1991,"48.827034,2.293143"
1992,"48.856019,2.293029"
1993,"48.865565563,2.29578333"
1994,"48.888634,2.373264"
1995,"48.827942,2.299472"
1996,"48.834398,2.38972"
1997,"49.156533,2.439129"
1998,"48.834351,2.389657"
1999,"48.834558,2.389567"
2000,"48.908423,2.376477"
2001,"48.874049,2.337846"
2002,"48.785523,2.446585"
2003,"48.834457,2.389771"
2004,"48.881805,2.299339"
2005,"48.834529,2.389433"
2006,"48.853862,2.369249"
2007,"48.834488,2.389755"
2008,"48.875788106,2.400848805"
2009,"48.834296,2.38994"
2010,"48.834523,2.389762"
2011,"48.856882,2.402441"
2012,"48.931919,2.363754"
2013,"48.97528,2.415883"
2014,"48.843531,2.263336"
2015,"48.823529,2.322473"
2016,"48.882977,2.331731"
2017,"48.80208,2.3513"
2018,"48.845009186,2.277071793"
2019,"48.866665,2.316998"
2020,"48.880054,2.304482"
2021,"48.840899,2.404878"
2022,"48.826518,2.39034"
2023,"48.902365,2.400823"
2024,"48.854504804,2.342707956"
2025,"48.834365,2.389692"
2026,"48.834442,2.389791"
2027,"48.932656,2.324148"
2028,"48.830132,2.388888"
2029,"48.834562,2.389789"
2030,"48.83444,2.389665"
2031,"48.886718,2.34692"
2032,"48.850623,2.377396"
2033,"48.831243,2.323993"
2034,"48.872411,2.474683"
2035,"48.824253,2.316567"
2036,"48.827975,2.369403"
2037,"48.838438,2.300073"
2038,"48.842395,2.408449"
2039,"48.830751,2.319003"
2040,"48.884469,2.53478"
2041,"48.858373,2.298147"
2042,"48.834553,2.389746"
2043,"48.862927,2.402217"
2044,"48.827672,2.300389"
2045,"48.873301916,2.317868681"
2046,"48.826796,2.327546"
2047,"48.856471,2.292966"
2048,"48.834433,2.389737"
2049,"48.883131,2.338299"
2050,"48.833967,2.283836"
2051,"48.899586289,2.3798312"
2052,"48.833835,2.28961"
2053,"48.85815,2.295882"
2054,"48.861861855,2.340569044"
2055,"48.848469,2.285564"
2056,"48.856109,2.273187"
2057,"48.860817,2.273656"
2058,"48.888436,2.317315"
2059,"48.889432,2.340869"
2060,"48.827475391,2.326012973"
2061,"48.834547,2.389742"
2062,"48.86112,2.41282"
2063,"48.88615,2.359411"
2064,"48.836572,2.319997"
2065,"48.829823,2.348736"
2066,"48.836218,2.398908"
2067,"48.8274,2.326122"
2068,"48.840757657,2.3366837"
2069,"48.843223,2.281162"
2070,"48.900346,2.320735"
2071,"48.868865,2.301791"
2072,"48.87025,2.349137"
2073,"48.850989,2.339443"
2074,"48.878973,2.385447"
2075,"48.864129,2.342051"
2076,"48.834328,2.389681"
2077,"48.862745,2.359448"
2078,"48.869193,2.271895"
2079,"48.895685,2.342212"
2080,"48.86828,2.388427"
2081,"48.867298,2.279613"
2082,"48.886147,2.344003"
2083,"48.886008,2.39897"
2084,"48.831449,2.277951"
2085,"48.87960169,2.327207166"
2086,"48.838907,2.27632"
2087,"48.827986,2.369544"
2088,"48.848604,2.299714"
2089,"48.856953205,2.372429812"
2090,"48.853388,2.411949"
2091,"48.855918,2.277563"
2092,"48.834503,2.3897"
2093,"48.83863,2.281128"
2094,"48.894253,2.377531"
2095,"48.841266,2.276817"
2096,"48.834486,2.389572"
2097,"48.834417,2.389688"
2098,"48.836313,2.292331"
2099,"48.836673,2.24681"
2100,"48.873709,2.375023"
2101,"48.875784,2.319589"
2102,"48.8759743,2.3587454"
2103,"48.849967,2.29515"
2104,"48.880429,2.361973"
2105,"48.882192,2.333108"
2106,"48.822757,2.340503"
2107,"48.858372,2.283896"
2108,"48.831229,2.319906"
2109,"48.882002,2.328291"
2110,"48.832486,2.346201"
2111,"48.864448,2.270064"
2112,"48.731343,2.305248"
2113,"48.928636,2.363054"
2114,"48.817912,2.353296"
2115,"48.833367,2.294716"
2116,"48.853235,2.308084"
2117,"48.841189,2.257679"
2118,"48.861479,2.338927"
2119,"48.870732667,2.304153"
2120,"48.93239,2.3684"
2121,"48.891676,2.303754"
2122,"48.84171,2.314027"
2123,"48.858985,2.278441"
2124,"48.859576,2.382695"
2125,"48.821305,2.484559"
2126,"48.834548,2.389895"
2127,"48.886779,2.345217"
2128,"48.899035,2.329774"
2129,"48.834445,2.389657"
2130,"48.834387,2.38988"
2131,"48.846846847,2.38205349"
2132,"48.887818,2.327998"
2133,"48.893253,2.317258"
2134,"48.856025,2.277614"
2135,"48.864751,2.412003"
2136,"48.885008,2.35606"
2137,"48.89434,2.353284"
2138,"48.83439,2.389636"
2139,"48.867986,2.274472"
2140,"48.839642,2.262315"
2141,"49.402425,3.111678"
2142,"48.893746,2.32611"
2143,"48.835139,2.289038"
2144,"48.873618,2.388485"
2145,"48.861918,2.364499"
2146,"48.850432,2.286912"
2147,"48.849291,2.353089"
2148,"48.827176,2.30666"
2149,"48.851732,2.342406"
2150,"48.857851,2.263762"
2151,"48.86038,2.348639"
2152,"48.823039262,2.359543056"
2153,"48.870638,2.358601"
2154,"48.834493,2.333467"
2155,"48.886295,2.356543"
2156,"48.878128,2.355744"
2157,"48.901341,2.389736"
2158,"48.84391,2.387204"
2159,"48.886712,2.345322"
2160,"48.852329329,2.326298761"
2161,"48.864876,2.292685"
2162,"48.852866,2.411786"
2163,"48.84484,2.34904"
2164,"48.85176,2.339238"
2165,"48.871498,2.395476"
2166,"48.838634,2.308773"
2167,"48.879282207,2.286318744"
2168,"48.852795,2.335106"
2169,"48.829219,2.308726"
2170,"48.877525,2.306168"
2171,"48.884478,2.387369"
2172,"48.841162784,2.280821592"
2173,"48.873067404,2.335318774"
2174,"48.859844,2.273107"
2175,"48.834425,2.389577"
2176,"48.831671,2.328912"
2177,"48.844236,2.320442"
2178,"48.838363,2.314349"
2179,"48.856583,2.409237"
2180,"48.865673,2.372728"
2181,"48.836805,2.318456"
2182,"48.826744833,2.332069988"
2183,"48.848872,2.292597"
2184,"48.847019,2.278965"
2185,"48.849529484,2.271534496"
2186,"48.82508,2.304012"
2187,"48.841712,2.282458"
2188,"48.829998,2.388048"
2189,"48.891762,2.30387"
2190,"48.635667,2.14528"
2191,"48.889978,2.243173"
2192,"48.823866,2.307349"
2193,"48.953558,2.742545"
2194,"48.833283,2.303726"
2195,"48.859457,2.34682"
2196,"48.917516,2.389945"
2197,"49.306676,2.73775"
2198,"48.834494,2.389821"
2199,"48.856255,2.346633"
2200,"48.834301,2.389532"
2201,"49.001065,9.139231"
2202,"48.825425,2.319105"
2203,"48.817326,2.396594"
2204,"48.879032,2.458578"
2205,"48.887607,2.344484"
2206,"48.901848,2.322932"
2207,"48.827858766,2.358498635"
2208,"48.834439,2.389707"
2209,"48.834431,2.389618"
2210,"48.873951,2.394958"
2211,"48.834569,2.389895"
2212,"48.8572811,2.393504"
2213,"48.828617,2.295719"
2214,"48.85605,2.407414"
2215,"48.83446,2.389885"
2216,"48.834423,2.389692"
2217,"48.889495,2.398955"
2218,"48.859881,2.273136"
2219,"48.83455,2.389666"
2220,"48.838001748,2.370466883"
2221,"48.870674,2.376667"
2222,"48.848968,2.375735"
2223,"48.833783976,2.327504279"
2224,"48.885494,2.293611"
2225,"48.82905,2.302404"
2226,"48.857388,2.329064"
2227,"48.847594,2.284641"
2228,"48.873063,2.291485"
2229,"48.834179,2.389862"
2230,"48.826699,2.327448"
2231,"48.831519,2.309458"
2232,"48.884432,2.27193"
2233,"48.834427,2.3898"
2234,"48.887341,2.336928"
2235,"48.944247,2.476277"
2236,"48.859028,2.354785"
2237,"48.903843,2.384486"
2238,"48.857918,2.337333"
2239,"48.887919,2.327953"
2240,"48.83464,2.389734"
2241,"48.916362,2.362999"
2242,"48.874927,2.337963"
2243,"48.895162,2.382427"
2244,"48.845473,2.25124"
2245,"48.834204,2.389291"
2246,"48.846183,2.314117"
2247,"48.898606,2.224135"
2248,"48.79919,2.159635"
2249,"48.820101,2.36155"
2250,"48.857177734,2.351468638"
2251,"48.908413,2.527456"
2252,"48.834545,2.389859"
2253,"48.891757,2.382142"
2254,"48.868198,2.401948"
2255,"48.865288,2.301324"
2256,"48.897163,2.342109"
2257,"48.889481,2.382531"
2258,"48.872527,2.333526"
2259,"48.857123,2.354327"
2260,"48.847699,2.326961"
2261,"48.877133,2.366394"
2262,"48.852991,2.335006"
2263,"48.841977,2.389308"
2264,"48.846203,2.341374"
2265,"48.848977,2.413245"
2266,"48.847086,2.410098"
2267,"48.834115,2.365075"
2268,"48.87536,2.373469"
2269,"48.879539,2.339447"
2270,"48.827465615,2.326021994"
2271,"48.881129,2.283662"
2272,"48.854213,2.297724"
2273,"48.817985,2.359239"
2274,"48.871765,2.314256"
2275,"48.856293,2.292838"
2276,"48.876062,2.379456"
2277,"48.864938,2.39727"
2278,"48.8835,2.333885"
2279,"48.838988,2.321942"
2280,"48.84506,2.282764"
2281,"48.876504,2.375833"
2282,"48.830218,2.313986"
2283,"48.868913,2.40525"
2284,"48.84364075,2.315237899"
2285,"48.862119,2.399504"
2286,"48.843585,2.263294"
2287,"48.838775,2.299272"
2288,"48.848977,2.287502"
2289,"48.847331,2.415987"
2290,"48.868426,2.274699"
2291,"48.851718,2.361073"
2292,"48.879229,2.286406"
2293,"48.842614,2.300311"
2294,"48.857539,2.276265"
2295,"48.834372,2.3895305"
2296,"48.894818,2.320068"
2297,"48.862981,2.308469"
2298,"48.89897,2.22394"
2299,"48.834386,2.389806"
2300,"48.839676,2.256007"
2301,"48.821686,2.321746"
2302,"49.03798,2.498516"
2303,"48.8343473,2.3898157"
2304,"48.834443,2.389649"
2305,"48.841149,2.394216"
2306,"48.848093,2.25584"
2307,"48.827008,2.370793"
2308,"48.8343518,2.3897769"
2309,"48.805736,2.545855"
2310,"48.834528,2.389648"
2311,"48.842468,2.289716"
2312,"48.887294,2.380843"
2313,"48.865171,2.299875"
2314,"48.824255,2.367764"
2315,"48.842339,2.31144"
2316,"48.834694,2.387952"
2317,"48.830786,2.399177"
2318,"48.857483,2.276304"
2319,"48.863046,2.306188"
2320,"48.892524,2.304173"
2321,"48.834387,2.389678"
2322,"48.818517,2.358518"
2323,"48.833992,2.283832"
2324,"48.825093,2.3041786"
2325,"48.827685,2.300371"
2326,"48.8288303,2.2958222"
2327,"48.834227,2.389549"
2328,"48.831787,2.278102"
2329,"48.821718,2.343122"
2330,"48.834356,2.389788"
2331,"48.849042,2.265397"
2332,"48.834731,2.388007"
2333,"48.842467,2.289391"
2334,"48.825074,2.326677"
2335,"48.888383,2.317214"
2336,"48.883104,2.299592"
2337,"48.834154,2.38977"
2338,"48.948375,2.28112"
2339,"49.041601,2.415887"
2340,"48.86979,2.381258"
2341,"48.834329,2.38986"
2342,"48.769684,2.684252"
2343,"48.861141,2.412836"
2344,"48.83827,2.273668"
2345,"48.89023,2.295986"
2346,"48.834635,2.38955"
2347,"48.834456,2.38968"
2348,"48.834575,2.389688"
2349,"48.859494,2.404413"
2350,"48.862375,2.266176"
2351,"40.788994,-1.356489"
2352,"48.928516,2.361545"
2353,"48.829873,2.299928"
2354,"48.834435,2.389738"
2355,"48.878307,2.295514"
2356,"48.837545,2.291192"
2357,"48.878957,2.286626"
2358,"48.773615,2.610168"
2359,"48.870938,2.283742"
2360,"48.859629,2.296509"
2361,"48.807625,2.368838"
2362,"48.8834181,2.3252259"
2363,"49.502149,6.752569"
2364,"48.898663,2.223661"
2365,"48.822685,2.364523"
2366,"48.834351,2.389726"
2367,"48.8343956,2.3896257"
2368,"48.863001,2.296561"
2369,"48.831153,2.305368"
2370,"48.954145,2.498981"
2371,"48.877826,2.405208"
2372,"48.833015,2.292035"
2373,"48.863979,2.290451"
2374,"48.836506,2.301624"
2375,"48.841194,2.324381"
2376,"49.037906,2.498493"
2377,"48.890961,2.331632"
2378,"48.933572,2.496436"
2379,"48.893282,2.331665"
2380,"48.931129,2.276961"
2381,"48.877468,2.400208"
2382,"48.868459,2.28918"
2383,"48.832923,2.292235"
2384,"48.846846847,2.38205349"
2385,"48.831707877,2.376775804"
2386,"48.852456079,2.344654788"
2387,"59.349492,18.0922"
2388,"48.839903,2.39021"
2389,"48.859324,2.40427"
2390,"48.860481,2.301266"
2391,"48.855269114,2.395454463"
2392,"48.86592,2.370254"
2393,"48.870509,2.349154"
2394,"48.876821,2.391851"
2395,"48.887327383,2.336856284"
2396,"48.834789,2.28395"
2397,"48.875051,2.322935"
2398,"48.859859,2.340472"
2399,"48.843987,2.355246"
2400,"48.840297,2.407688"
2401,"48.846271,2.329802"
2402,"48.834148,2.389845"
2403,"48.887132,2.380858"
2404,"48.820042,2.339702"
2405,"48.865447,2.34271"
2406,"48.840515,2.368691"
2407,"48.834635,2.387877"
2408,"48.860109,2.365621"
2409,"48.834694,2.400925"
2410,"48.8564,2.292739"
2411,"48.872947,2.296857"
2412,"48.889189,2.342362"
2413,"48.87712,2.411612"
2414,"48.872803,2.376416"
2415,"48.887462,2.353525"
2416,"48.839334,2.255993"
2417,"50.014239,2.044582"
2418,"48.822994,2.365387"
2419,"48.864285,2.391042"
2420,"48.859148,2.385932"
2421,"48.886579,2.332971"
2422,"48.855448,2.352036"
2423,"48.83179,2.317862"
2424,"48.834579,2.38966"
2425,"48.87471,2.297083"
2426,"48.827533,2.377092"
2427,"48.840431,2.368703"
2428,"48.850315619,2.39189558"
2429,"48.839238,2.380297"
2430,"48.835357119,2.392982017"
2431,"48.834302,2.389836"
2432,"48.882588,2.305601"
2433,"48.846316,2.279217"
2434,"48.8387,2.396503"
2435,"48.87303,2.335513"
2436,"48.889158,2.34251"
2437,"48.871715,2.387588"
2438,"48.839324,2.255982"
2439,"48.82392,2.306805"
2440,"48.89181,2.382172"
2441,"48.886176,2.344157"
2442,"48.871124,2.36224"
2443,"48.838266,2.273201"
2444,"48.8344057,2.3895408"
2445,"48.813818,2.433373"
2446,"48.88486,2.290938"
2447,"48.834329,2.389832"
2448,"48.899891,2.482393"
2449,"48.894876,2.367786"
2450,"48.84856,2.260537"
2451,"48.871237,2.268704"
2452,"48.828484,2.308023"
2453,"48.827412,2.374893"
2454,"49.04846,2.412571"
2455,"48.83454,2.389638"
2456,"48.871712,2.298552"
2457,"48.856062,2.285638"
2458,"48.833882,2.289688"
2459,"48.930153,2.449096"
2460,"48.866269,2.28609"
2461,"48.661542,2.376197"
2462,"48.998208,1.906857"
2463,"48.819464,2.348485"
2464,"48.834426,2.389654"
2465,"48.833023,2.292158"
2466,"48.877881,2.333299"
2467,"48.834181,2.389848"
2468,"48.821202,2.378629"
2469,"48.834645,2.389529"
2470,"48.834427,2.389699"
2471,"48.875226,2.306625"
2472,"48.830515,2.30406"
2473,"48.887749,2.306277"
2474,"48.830825,2.399243"
2475,"48.834583,2.389636"
2476,"48.892155,2.329675"
2477,"48.834439,2.389836"
2478,"48.829081,2.306222"
2479,"48.844987,2.304535"
2480,"48.848163,2.385457"
2481,"48.882657,2.37793"
2482,"48.834244,2.389796"
2483,"48.875716,2.357334"
2484,"48.8762058,2.3587956"
2485,"48.834367,2.389643"
2486,"48.850892,2.37642"
2487,"48.859922,2.297627"
2488,"48.862463697,2.385382025"
2489,"48.842924245,2.414490672"
2490,"48.882793,2.371784"
2491,"48.881397,2.354015"
2492,"48.870678658,2.358656942"
2493,"48.873621,2.281875"
2494,"48.883572,2.364509"
2495,"48.879182,2.388267"
2496,"48.866457441,2.296551353"
2497,"48.831423037,2.326900079"
2498,"48.865031,2.3708"
2499,"48.864779368,2.38786532"
2500,"48.826209,2.367031"
2501,"48.866367,2.383465"
2502,"48.852785,2.347551"
2503,"48.835108,2.35474"
2504,"48.831766,2.376645"
2505,"48.846048,2.310469"
2506,"48.882091,2.336571"
2507,"48.859043913,2.287012931"
2508,"48.885586,2.307909"
2509,"48.883729,2.360615"
2510,"48.828507443,2.303112281"
2511,"48.881502031,2.353884265"
2512,"48.880121,2.343662"
2513,"48.871035,2.283798"
2514,"48.838239,2.37167"
2515,"48.838432,2.314402"
2516,"48.83971,2.309197"
2517,"48.848129745,2.402478344"
2518,"48.89204,2.331825"
2519,"48.835682,2.322771"
2520,"48.856543,2.321029"
2521,"48.88488,2.290903"
2522,"48.845272,2.383399"
2523,"48.831139,2.323948"
2524,"48.871280499,2.288996909"
2525,"48.832606,2.278664"
2526,"48.846355,2.406101"
2527,"48.832304,2.371894"
2528,"48.831656,2.376703"
2529,"48.828486,2.307981"
2530,"48.861916,2.344546"
2531,"48.862117,2.314006"
2532,"48.820106,2.339831"
2533,"48.827285674,2.367071364"
2534,"48.884448,2.343838"
2535,"48.836336,2.292448"
2536,"48.869347,2.402903"
2537,"48.8558,2.354195"
2538,"48.84635,2.279146"
2539,"48.823907,2.306769"
2540,"48.835921,2.349922"
2541,"48.866424,2.383684"
2542,"48.891686,2.303789"
2543,"48.834549,2.3898"
2544,"48.913376,2.319653"
2545,"48.834443,2.38973"
2546,"48.862848,2.30701"
2547,"48.834483,2.389674"
2548,"48.904518,2.46781"
2549,"48.864208,2.467596"
2550,"48.834389,2.389561"
2551,"48.867458,2.27053"
2552,"48.862013,2.324807"
2553,"48.835849,2.338119"
2554,"48.8343518,2.3898287"
2555,"48.834746,2.389976"
2556,"48.834169,2.389843"
2557,"48.838449,2.300102"
2558,"48.844112,2.414501"
2559,"48.83448,2.389537"
2560,"48.822925,2.36541"
2561,"48.824777,2.363839"
2562,"48.877734,2.353373"
2563,"48.885218,2.344511"
2564,"48.821128,2.319803"
2565,"48.893003,2.326773"
2566,"48.81814,2.352265"
2567,"48.834675,2.283719"
2568,"48.834023,2.362212"
2569,"48.834352,2.389811"
2570,"48.834456,2.389849"
2571,"48.869089,2.297366"
2572,"48.931885,2.366858"
2573,"48.834471,2.389435"
2574,"48.839356,2.287156"
2575,"48.870866,2.288062"
2576,"48.845526,2.372587"
2577,"48.854717,2.295084"
2578,"48.834884,2.289092"
2579,"48.84313,2.320251"
2580,"48.828431,2.316767"
2581,"48.882084,2.336543"
2582,"48.872762348,2.399450679"
2583,"48.861282,2.314001"
2584,"48.834961,2.373875"
2585,"48.818439,2.358689"
2586,"48.852278,2.414215"
2587,"48.881413,2.289626"
2588,"48.825092,2.303979"
2589,"48.886309,2.392818"
2590,"48.838573,2.311776"
2591,"48.854669,2.398899"
2592,"48.892597,2.342445"
2593,"48.888274,2.317207"
2594,"48.873809,2.287815"
2595,"48.884884,2.290966"
2596,"48.896775,2.339151"
2597,"48.86463,2.340569"
2598,"48.883467,2.371062"
2599,"48.847754,2.323892"
2600,"48.896302,2.384333"
2601,"48.839113,2.254599"
2602,"48.900871,2.229885"
2603,"48.883385,2.32519"
2604,"48.882545,2.295706"
2605,"48.834611,2.38782"
2606,"48.856612,2.281874"
2607,"48.842496,2.314325"
2608,"48.843236947,2.33146829"
2609,"48.888821,2.34247"
2610,"48.840336,2.287772"
2611,"48.869239,2.313571"
2612,"48.844935,2.3698"
2613,"48.839289,2.30822"
2614,"48.886293,2.348197"
2615,"48.842377,2.265402"
2616,"48.943061,2.202676"
2617,"48.86477,2.293365"
2618,"48.898558,2.223841"
2619,"48.823572,2.322543"
2620,"48.894746,2.384356"
2621,"48.834268,2.389722"
2622,"48.884918,2.30891"
2623,"48.827996,2.369442"
2624,"48.834521,2.389891"
2625,"48.887156,2.375642"
2626,"48.834451,2.389751"
2627,"48.83331,2.348193"
2628,"48.869906,2.410605"
2629,"48.827409232,2.354290999"
2630,"48.820461,2.400686"
2631,"48.879698,2.303488"
2632,"48.889741,2.372501"
2633,"48.8343674,2.3895705"
2634,"48.820425,2.36536"
2635,"48.8784966,2.2950917"
2636,"48.861331,2.324246"
2637,"48.845396,2.259176"
2638,"48.860145,2.289976"
2639,"48.834468,2.389637"
2640,"48.898628,2.356461"
2641,"48.832786,2.278612"
2642,"48.863199,2.315552"
2643,"48.850325,2.387477"
2644,"48.826695,2.331918"
2645,"48.868027,2.486904"
2646,"48.844011,2.275287"
2647,"48.834326,2.389527"
2648,"48.810215,2.398947"
2649,"48.866304,2.391106"
2650,"48.840871,2.404958"
2651,"48.834215,2.389664"
2652,"48.893208,2.337483"
2653,"48.899379,2.279192"
2654,"48.834111,2.389761"
2655,"48.894029,2.381255"
2656,"48.826188,2.338654"
2657,"48.887604,2.304082"
2658,"48.854758,2.295253"
2659,"48.862028,2.311548"
2660,"48.84889,2.265282"
2661,"48.793426833,2.391750667"
2662,"48.834293,2.389894"
2663,"48.886001,2.362803"
2664,"48.834394,2.389782"
2665,"48.834391,2.38961"
2666,"48.825505,2.379316"
2667,"48.877543,2.294632"
2668,"48.847418,2.346899"
2669,"48.830864,2.399132"
2670,"48.85195,2.329535"
2671,"48.899468,2.309492"
2672,"48.84401,2.384475"
2673,"48.912042,2.36142"
2674,"48.856735,2.320802"
2675,"48.8334181,2.3905088"
2676,"48.949392,2.412088"
2677,"48.836524,2.31"
2678,"48.865149,2.490309"
2679,"48.88054,2.264263"
2680,"48.836336,2.292424"
2681,"48.861146,2.328643"
2682,"48.896251,2.4216"
2683,"48.87248,2.364261"
2684,"48.894113,2.384045"
2685,"48.893263,2.362017"
2686,"48.861607,2.384768"
2687,"48.878842,2.385309"
2688,"48.861992,2.301174"
2689,"48.896829,2.345084"
2690,"48.8416,2.307955"
2691,"48.872466,2.333618"
2692,"48.859397,2.38704"
2693,"48.858345,2.284677"
2694,"48.890745,2.337438"
2695,"48.853679,2.338335"
2696,"48.840805233,2.268144806"
2697,"48.85703,2.378543"
2698,"48.882913,2.331693"
2699,"48.842217,2.39281"
2700,"48.838682,2.404008"
2701,"48.925888,2.230146"
2702,"48.875742,2.296085"
2703,"48.848775,2.347579"
