,loc
225,"48.866656,2.304993"
226,"48.841331,2.257676"
227,"48.888598,2.39311"
228,"48.848843,2.263751"
229,"48.847657,2.294232"
230,"48.834559,2.38969"
231,"48.834496,2.389698"
232,"48.868917,2.408159"
233,"48.886156,2.28551"
234,"48.843196,2.264777"
235,"48.862171,2.368665"
236,"48.843448,2.274691"
237,"48.864257,2.406926"
238,"48.834796,2.284002"
239,"48.854025,2.400162"
240,"48.909232,2.379928"
241,"48.845358,2.260552"
242,"48.8343438,2.3896278"
243,"48.894514393,2.319675282"
244,"48.857537,2.276554"
245,"48.862627,2.315041"
246,"48.884971,2.320929"
247,"48.878098,2.329342"
248,"48.879867,2.347343"
249,"48.888369,2.317307"
250,"48.887595,2.345047"
251,"48.851089,2.306825"
252,"48.881491274,2.353898652"
253,"48.890371,2.337603"
254,"48.834676,2.337989"
255,"48.83598,2.290077"
256,"48.876268,2.387706"
257,"48.856724,2.282001"
258,"48.850545,2.27118"
259,"48.881637,2.38115"
260,"48.846367,2.308452"
261,"48.841673,2.355803"
262,"48.847587,2.2861"
263,"48.843338,2.374455"
264,"48.869117,2.383081"
265,"48.826263856,2.338371735"
266,"48.851796,2.330743"
267,"48.84851,2.285393"
268,"48.846788,2.409979"
269,"48.871694,2.387634"
270,"48.863969,2.320328"
271,"48.877244,2.389402"
272,"48.87063,2.308339"
273,"48.8578,2.336013"
274,"48.8647548,2.2903486"
275,"48.867431,2.270554"
276,"48.833819,2.394999"
277,"48.837375,2.253208"
278,"48.878563,2.395441"
279,"48.852776973,2.335071803"
280,"48.870626,2.283475"
281,"48.887346,2.336914"
282,"48.879909,2.302583"
283,"48.835616,2.372237"
284,"48.83612,2.353313"
285,"48.840367,2.36881"
286,"48.859476,2.343476"
287,"48.822183,2.31469"
288,"48.826536,2.323624"
289,"48.861535,2.285088"
290,"48.871203,2.400932"
291,"48.829121,2.306141"
292,"48.878533,2.39754"
293,"48.821091,2.31967"
294,"48.873477,2.391099"
295,"48.834401,2.389801"
296,"48.880301,2.399051"
297,"48.835182,2.303775"
298,"48.827994,2.298389"
299,"48.79343,2.391966"
300,"48.841874,2.298019"
301,"48.79737,2.38025"
302,"48.863156,2.314366"
303,"48.854821,2.417866"
304,"48.834437,2.389664"
305,"48.870679,2.393603"
306,"48.956145,2.500044"
307,"48.848545,2.260478"
308,"48.822897,2.322069"
309,"48.834438,2.389778"
310,"48.864993,2.301669"
311,"48.8652112,2.2994559"
312,"48.925878,2.23025"
313,"48.842608,2.38221"
314,"48.895648,2.438511"
315,"48.836736,2.246757"
316,"48.834619,2.38989"
317,"48.8491,2.413218"
318,"48.8343718,2.3897474"
319,"48.83438,2.389727"
320,"48.864898,2.384875"
321,"48.834424,2.38963"
322,"48.834237,2.389867"
323,"48.871685,2.314146"
324,"48.834577,2.389957"
325,"48.834526,2.389769"
326,"48.845294,2.260711"
327,"48.859472,2.276027"
328,"48.87731397,2.389340534"
329,"48.863072,2.317455"
330,"48.860824,2.36004"
331,"48.869585,2.313452"
332,"48.834319,2.38956"
333,"48.8343749,2.389758"
334,"48.820688,2.36122"
335,"48.82973,2.305264"
336,"48.88903,2.343676"
337,"48.944312,2.476451"
338,"48.834454,2.389733"
339,"48.8344,2.38981"
340,"48.847873,2.265026"
341,"48.851833,2.350411"
342,"48.898775,2.224006"
343,"48.834411,2.38957"
344,"48.834377,2.389667"
345,"48.85399,2.406928"
346,"48.819898,2.392012"
347,"48.83421,2.389424"
348,"48.867659,2.416322"
349,"48.834341,2.38985"
350,"48.834395,2.389747"
351,"48.871837045,2.30602649"
352,"48.859076,2.27838"
353,"48.857591,2.399511"
354,"48.852532,2.341128"
355,"48.858837,2.390987"
356,"48.87366,2.292505"
357,"48.833321,2.295986"
358,"48.861547,2.267677"
359,"48.867531,2.398819"
360,"48.88627,2.369113"
361,"48.889598623,2.382675337"
362,"48.843141,2.319304"
363,"48.845005,2.369863"
364,"48.853618,2.392452"
365,"48.856709,2.293611"
366,"48.87701,2.285833"
367,"48.888028,2.377539"
368,"48.879553,2.351791"
369,"48.863674,2.334288"
370,"48.870933,2.376721"
371,"48.865049,2.286171"
372,"48.830594,2.311608"
373,"48.867131,2.353926"
374,"48.83793,2.297835"
375,"48.853173,2.319044"
376,"48.837721,2.352394"
377,"48.849155,2.314286"
378,"48.883341,2.470199"
379,"48.86709,2.302484"
380,"48.891469,2.29966"
381,"48.870873,2.344853"
382,"48.837316,2.253134"
383,"48.837835,2.297506"
384,"48.848961,2.365251"
385,"48.822204,2.314672"
386,"48.865527,2.319988"
387,"48.870911,2.303438"
388,"48.863531,2.274346"
389,"48.824953,2.377647"
390,"48.869058,2.376852"
391,"48.865576,2.386598"
392,"48.834444,2.389717"
393,"48.900615,2.230115"
394,"48.848891,2.265204"
395,"48.834531,2.389913"
396,"48.834396,2.389658"
397,"48.823885,2.329308"
398,"48.859894,2.273096"
399,"48.834445,2.389565"
400,"48.857591,2.276396"
401,"48.834407,2.389579"
402,"48.839588,2.356295"
403,"48.890943,2.37625"
404,"48.834597,2.38973"
405,"48.834343,2.389676"
406,"48.845526,2.295049"
407,"48.834527,2.389581"
408,"48.871985,2.3002"
409,"48.899072,2.3232"
410,"48.834799,2.403794"
411,"48.831326,2.29259"
412,"48.872468,2.412058"
413,"48.834309,2.389822"
414,"48.834509,2.38982"
415,"48.862924,2.400416"
416,"48.8343576,2.3895534"
417,"48.940501,2.383725"
418,"48.866057,2.398258"
419,"48.886314972,2.328138963"
420,"48.834461,2.389562"
421,"48.834416,2.389428"
422,"48.820447,2.354325"
423,"48.844971,2.380046"
424,"48.828794,2.35065"
425,"48.900457,2.386847"
426,"48.821702,2.321766"
427,"48.834124,2.283807"
428,"48.834565,2.389617"
429,"48.831343,2.277221"
430,"48.735441,2.458288"
431,"48.827687,2.32663"
432,"48.856049,2.293018"
433,"48.877039,2.285699"
434,"48.827661,2.300377"
435,"48.915541,2.404249"
436,"48.834528,2.389712"
437,"48.8343956,2.3896257"
438,"48.889621,2.373792"
439,"48.886055,2.359463"
440,"48.835456,2.389844"
441,"48.897321,2.324256"
442,"48.834427,2.411624"
443,"48.834428,2.389724"
444,"48.8345237,2.389552"
445,"47.909415,1.92613"
446,"48.861616,2.314356"
447,"48.834327,2.389581"
448,"48.86376,2.332638"
449,"48.85671,2.302593"
450,"48.893863,2.223098"
451,"48.872577,2.355413"
452,"48.864838,2.384912"
453,"48.834586,2.389528"
454,"48.834434,2.389647"
455,"48.944525,2.286171"
456,"48.834553,2.389631"
457,"48.854034,2.403791"
458,"48.8562238,2.2733012"
459,"48.857208252,2.351450004"
460,"48.841423,2.606278"
461,"48.857182,2.355222"
462,"48.881847,2.351897"
463,"48.824578,2.298859"
464,"48.814896,2.35048"
465,"48.870075,2.486096"
466,"48.834456,2.389696"
