,capacity,geo_point_2d
64,6,"48.864830282325244,2.293186306387261"
65,6,"48.882622681894944,2.3135549642668316"
66,6,"48.848027426885395,2.325013860453765"
67,6,"48.8465016842451,2.3274322444370124"
68,6,"48.86652625445942,2.30497577202096"
69,6,"48.885374430855116,2.3845421936964737"
70,7,"48.884802436835315,2.398924659524003"
71,6,"48.84122694394694,2.324325756248375"
72,6,"48.8697509089828,2.290426755138908"
73,6,"48.853886141602075,2.3962715081066643"
74,6,"48.851222252554734,2.3846209184881206"
75,6,"48.851182763968986,2.3821557854011566"
76,6,"48.84693108858288,2.2698722809270313"
77,6,"48.86833824182264,2.3839482374409102"
78,7,"48.86572854967618,2.3944362447386003"
79,6,"48.86862355608465,2.3683474638242585"
80,6,"48.86659695767763,2.387137027561911"
81,6,"48.848506455476965,2.3992952638697718"
82,6,"48.84168840155988,2.259176066770314"
83,6,"48.84080528589958,2.268139335292547"
84,6,"48.84033458754445,2.368669155579873"
85,6,"48.87315936580092,2.2835382974540046"
86,5,"48.85063401020881,2.2990673334917604"
87,6,"48.87562681504525,2.318615188931426"
88,6,"48.86533998485052,2.2829918463271"
89,7,"48.85336841622664,2.293921640830945"
90,6,"48.8749276513029,2.3762789164794436"
91,7,"48.827405696171624,2.3542939896297224"
92,9,"48.87494943647548,2.412791576274255"
93,6,"48.84848444560491,2.3547276219709716"
94,6,"48.8474315779374,2.348431902503506"
95,6,"48.84825464754593,2.349327087582813"
96,7,"48.82845544985541,2.3430670459767007"
97,6,"48.83720881202316,2.277117281880175"
98,6,"48.86260437172897,2.273832244885869"
99,6,"48.873815582019255,2.321020693909863"
100,6,"48.874805551350995,2.3474321398127858"
101,7,"48.87341698835844,2.347946845832003"
102,6,"48.84251334944361,2.289473412926282"
103,6,"48.84683839990434,2.268494441610819"
104,6,"48.8385842169135,2.281690007571248"
105,6,"48.84626179021004,2.2829908756377586"
106,6,"48.82958084960163,2.3596444716367726"
107,6,"48.87039429404165,2.3368483705136525"
108,6,"48.8365888677539,2.253727348231677"
109,6,"48.82860323116592,2.3329453403128073"
110,6,"48.868977558639195,2.3880528073795233"
111,5,"48.86603824066523,2.379124857082039"
112,6,"48.835072047785445,2.2891332766724144"
113,6,"48.86541615350799,2.330904218493108"
114,5,"48.829351802773154,2.3680978391758627"
115,8,"48.8919952857658,2.3470384838740617"
116,6,"48.840984327022724,2.328952698126663"
117,6,"48.83767814568687,2.3494448380846227"
118,5,"48.84030950512253,2.3106890373462448"
119,6,"48.867616829787785,2.325703044345646"
120,6,"48.892212354980344,2.375221515817476"
121,6,"48.831002938980895,2.344430786131485"
122,6,"48.85733144618142,2.385560441010343"
123,6,"48.868336616799354,2.3716269999676802"
124,6,"48.853132157020646,2.317502445552616"
125,7,"48.880715331401824,2.3601077659252785"
126,6,"48.85183402928212,2.367753288850128"
127,6,"48.87097679899873,2.338098392776756"
128,6,"48.83585037246601,2.321905758611628"
129,6,"48.87323346682086,2.3224662247202406"
130,6,"48.84909847483895,2.2927563753624747"
131,6,"48.874134547596405,2.3761474874518607"
132,6,"48.860814395037025,2.3148845008672305"
133,6,"48.84063717662015,2.4074780186619478"
134,7,"48.881152843452114,2.358671475249777"
135,6,"48.86898493902582,2.3210498120764536"
136,6,"48.85643630505763,2.400416263584497"
137,6,"48.84743922798196,2.3083874989158004"
138,6,"48.85238815351185,2.381976979970474"
139,7,"48.86449111498089,2.353183718662999"
140,6,"48.85244797571551,2.3672492162056193"
141,8,"48.83770657725567,2.4040146761329995"
142,6,"48.86236077104587,2.3636354583600854"
143,6,"48.82061117543668,2.3700783238832472"
144,5,"48.85784541340722,2.377017340836681"
145,6,"48.871515494141065,2.2792583778173756"
146,6,"48.85286636354378,2.360039102635905"
147,6,"48.85454879070073,2.3369069462490843"
148,6,"48.867395682767985,2.270461070457004"
149,6,"48.8815412235097,2.292484912832023"
150,8,"48.88226357665905,2.295960209506821"
151,6,"48.88943791391994,2.3406427170285453"
152,5,"48.89326908217647,2.3470657667333783"
153,6,"48.85306741033127,2.332388734618401"
154,6,"48.847595157286975,2.4010538512684354"
155,6,"48.832535213845645,2.278725709806925"
156,6,"48.82264536022084,2.3467457722494935"
157,6,"48.833174429726526,2.303907532009955"
158,7,"48.831175236301505,2.306684786744058"
159,5,"48.891256715051206,2.3245848547509382"
160,3,"48.858948459879485,2.3536780375853583"
161,5,"48.829451521483044,2.382901319033714"
162,5,"48.89372720622978,2.3267024575943176"
163,6,"48.853089876274105,2.275832670868267"
164,6,"48.87455895736189,2.30340011762836"
165,6,"48.89505456566416,2.3595676802018093"
166,6,"48.8827785343472,2.3032407584131027"
167,6,"48.88125987584392,2.306623865305521"
168,5,"48.882793227415455,2.3397103870149385"
169,6,"48.85243662530941,2.3446411990998994"
170,6,"48.83828984802104,2.3506625054056722"
171,5,"48.869012518112044,2.3953205677745952"
172,6,"48.849016740643414,2.274029738564796"
173,6,"48.85488224302432,2.2729678051114885"
174,6,"48.84089730972354,2.404962103175514"
175,5,"48.863773500159944,2.381295167171936"
176,6,"48.88040386487673,2.3248855535750157"
177,6,"48.88008465510788,2.330525733313733"
178,6,"48.8679743999471,2.3045635664082433"
179,6,"48.8296856650692,2.3570554342365697"
180,6,"48.87786956698877,2.3467877955522676"
181,5,"48.89229441019729,2.333628448566312"
182,6,"48.87850113553317,2.3818775072858305"
183,7,"48.88041874266105,2.3175312774395387"
184,6,"48.833781378749656,2.3275077651218443"
185,6,"48.87656724675278,2.3404522696806547"
186,6,"48.85393165381962,2.304599749698207"
187,6,"48.84545113277857,2.3283553318546644"
188,6,"48.84999167719828,2.4024328192701736"
189,6,"48.85588808215542,2.307497397650761"
190,6,"48.85646226980072,2.324182478648114"
191,6,"48.856769354251824,2.3244552506565204"
192,6,"48.86208007720022,2.281835577804188"
193,6,"48.86517443942996,2.390994625919902"
194,6,"48.84813816313282,2.3307793326280675"
195,6,"48.84880421407225,2.4043346587875285"
196,6,"48.84869066674177,2.263657877609855"
197,6,"48.84316936341974,2.2646885397712255"
198,7,"48.850377534489326,2.2870014121024163"
199,6,"48.86506123665914,2.2903113921854765"
200,7,"48.83051710780209,2.3040147030812093"
201,6,"48.861151374849904,2.3203837287408726"
202,6,"48.85945176571605,2.274604085296829"
203,6,"48.85056934000878,2.2712865986523423"
204,6,"48.82044081230104,2.3416556481997257"
205,6,"48.858821007301486,2.303079689010513"
206,6,"48.85840023812418,2.301928925583124"
207,6,"48.84486222776636,2.2522460177000867"
208,6,"48.84897108266765,2.3113962035832225"
209,6,"48.8507209563672,2.3141112233458636"
210,6,"48.85164831114065,2.290145973585513"
211,6,"48.89104658452232,2.383627149624804"
212,6,"48.85809496933417,2.3548142761769673"
213,6,"48.89449513526611,2.374032217500247"
214,6,"48.84899461360471,2.3705107044630225"
215,6,"48.847934787632084,2.3677910856044817"
216,6,"48.84545958472331,2.4110097311978107"
217,6,"48.85225518337563,2.3666908377497373"
218,6,"48.85173046379048,2.2959304240179086"
219,6,"48.870010411355054,2.311999395511373"
220,6,"48.84297717312543,2.3068576792686164"
221,6,"48.85338172269003,2.2984632526488995"
222,7,"48.88079855045526,2.3132504111308165"
223,6,"48.83236638886752,2.3625878495808257"
224,6,"48.872757708577915,2.366474564493468"
225,6,"48.8690351790341,2.334432846871096"
226,6,"48.86937639047771,2.3330835705967874"
227,6,"48.85177620853507,2.3190517713879486"
228,6,"48.8507788989397,2.335562853496765"
229,6,"48.854321336774326,2.365881871460643"
230,6,"48.87084526589316,2.2995685189296196"
231,6,"48.86834770455673,2.3749366865133963"
232,6,"48.82382538360181,2.32929871804337"
233,6,"48.828296563689534,2.319444188697169"
234,6,"48.864950202523886,2.3318099213627197"
235,6,"48.863343828335864,2.335126864374394"
236,6,"48.83010139305667,2.3619305586570767"
237,6,"48.83177075169246,2.2778125842771733"
238,5,"48.87256625351653,2.314484685967782"
239,5,"48.86254524238913,2.3779849355853044"
240,6,"48.865955571136865,2.3014547161048657"
241,6,"48.84485778318673,2.2799379072629797"
242,7,"48.88311296710161,2.2963912489826663"
243,6,"48.826427825919446,2.3236596996898906"
244,6,"48.85589016177965,2.2775315441143875"
245,6,"48.863960174755974,2.3521513685459867"
246,5,"48.83456533782779,2.3966107404342725"
247,6,"48.869527540819135,2.2823317970365022"
248,6,"48.872184419432855,2.2856061296540253"
249,6,"48.83102247579824,2.3238525682085855"
250,6,"48.86004134133422,2.311320151571718"
251,6,"48.86771427207425,2.337646040532039"
252,6,"48.85288949319143,2.393025923642945"
253,6,"48.85366268622138,2.3364272275944646"
254,6,"48.852927299509645,2.3428350208086717"
255,6,"48.84121086851854,2.3363263170476847"
