,capacity,geo_point_2d
618,6,"48.87519335355319,2.3091074812575996"
619,6,"48.83210129295512,2.360176680318318"
620,6,"48.8637509723203,2.374663049370362"
621,6,"48.8508895958729,2.266997623291047"
622,6,"48.85388621167488,2.3583417702099956"
623,6,"48.867667248886114,2.356703139103173"
624,6,"48.84381416734324,2.2592933037528216"
625,6,"48.86070981103999,2.32007989288726"
626,6,"48.87660448063845,2.301960985543198"
627,6,"48.85468124660339,2.3408286878454767"
628,6,"48.873158935158166,2.3113751883487956"
629,6,"48.85229734822526,2.2990236606893832"
630,6,"48.8402698171609,2.3526365189157388"
631,6,"48.84333047700268,2.2874688343451806"
632,6,"48.896687662230775,2.3252519817280897"
633,9,"48.83374428458467,2.3147932753830283"
634,5,"48.82780239371233,2.322454036376119"
635,6,"48.85958014158146,2.354065842654935"
636,6,"48.88345018691266,2.304360939852735"
637,6,"48.863560840424995,2.403838987287177"
638,6,"48.87757894895258,2.293273000419797"
639,6,"48.858354011292576,2.3177851127204203"
640,6,"48.842374754422394,2.286949228028006"
641,6,"48.8949827924352,2.343289995265206"
642,6,"48.88709376224555,2.3140157132087666"
643,6,"48.87596132344554,2.3464313976987903"
644,5,"48.8818769025926,2.2911339810693665"
645,6,"48.88547183704694,2.333280266044053"
646,7,"48.880617550084644,2.2888054242186286"
647,6,"48.89070948936073,2.326291850243051"
648,6,"48.889193859079604,2.37848664557989"
649,6,"48.88813135975068,2.398033531746092"
650,5,"48.87955443673189,2.4085376861347356"
651,5,"48.86641047165873,2.3836843049732708"
652,6,"48.84859305965303,2.299925442802881"
653,6,"48.86448016487301,2.270028402003234"
654,5,"48.85641785484333,2.383344005868056"
655,5,"48.88475580035093,2.3811387820683088"
656,5,"48.883411499271915,2.3308523864571296"
657,6,"48.86413853766028,2.381295354805992"
658,6,"48.8389605851455,2.3806634127253394"
659,8,"48.87590571138342,2.2878125166510634"
660,6,"48.8802013707499,2.3000477309835903"
661,5,"48.89883864713151,2.3743969839886025"
662,6,"48.82920266258958,2.353555063165179"
663,6,"48.85086302372483,2.3255194594399207"
664,6,"48.823938238048854,2.306815785214848"
665,6,"48.83868105323088,2.38843273514973"
666,6,"48.88423271035643,2.303101486434612"
667,6,"48.866878449879025,2.310096510663209"
668,6,"48.87888053391795,2.385527944531563"
669,6,"48.879250343470005,2.3883378398780097"
670,6,"48.872159520946695,2.3697184553144766"
671,6,"48.84252708243196,2.252671149856732"
672,6,"48.83870960008432,2.3088365421021244"
673,6,"48.875225744560126,2.3640156127057987"
674,6,"48.85658234452749,2.2819054779687855"
675,6,"48.84323087629261,2.3265665544608902"
676,6,"48.84266858803153,2.329929706127734"
677,6,"48.85529478306285,2.3954601112599105"
678,6,"48.86645762482048,2.296555077900706"
679,6,"48.84467791966545,2.3294572637519524"
680,6,"48.85161948398003,2.3788646644465805"
681,6,"48.869358090919675,2.396640205128987"
682,6,"48.86845037535621,2.2892692418526477"
683,7,"48.869608406777935,2.378194037436032"
684,6,"48.83493130454551,2.4039545182370574"
685,4,"48.84719321937718,2.332539854128016"
686,6,"48.86925520908414,2.4004517116747244"
687,6,"48.84365705781538,2.2632967932832937"
688,6,"48.86530353230463,2.285106598774821"
689,6,"48.84964924479182,2.298404608908774"
690,6,"48.88076864273404,2.326910046010997"
691,7,"48.8587479523275,2.3861847589865066"
692,8,"48.86626354416437,2.403497782647302"
693,7,"48.871285051406225,2.410624203415943"
694,6,"48.87254084936605,2.407378303853252"
695,6,"48.82895066008154,2.357823971305941"
696,6,"48.8477676854418,2.3514814139618454"
697,6,"48.853982410694734,2.362865465922033"
698,6,"48.86773883491772,2.3345736230471945"
699,6,"48.86411841989031,2.2904983502575034"
700,6,"48.87581342190035,2.3227169697996173"
701,6,"48.86801194841138,2.3244765050318046"
702,6,"48.88041895634683,2.36202337583688"
703,6,"48.8475559119825,2.2689342615552452"
704,7,"48.84673812559958,2.310047172625283"
705,6,"48.834064786349316,2.3651335169194247"
706,6,"48.888255284777046,2.3027159160742365"
707,9,"48.88649520852777,2.3327987073274707"
708,6,"48.827854407077275,2.358500393517541"
709,6,"48.89340981901955,2.38472288102999"
710,9,"48.83846216701551,2.34064831574937"
711,6,"48.84507148239548,2.36968583373803"
712,6,"48.878904403241016,2.329598735263003"
713,6,"48.86378002048462,2.334411842450484"
714,6,"48.83210328241661,2.370347018063417"
715,5,"48.85685322643459,2.350584739842208"
716,6,"48.840458940452386,2.2877805021347957"
717,6,"48.85992749893541,2.26808198112607"
718,6,"48.85902286351152,2.355484686930897"
719,7,"48.83425381899366,2.3063855035217555"
720,6,"48.836945383925645,2.3833424417339217"
721,6,"48.88021540629981,2.2956048900517434"
722,6,"48.88371206738045,2.3606317637948253"
723,6,"48.85593870998217,2.3664997398852616"
724,6,"48.860209468740614,2.3530141458574563"
725,6,"48.84584984640804,2.344860935794458"
726,5,"48.84375686899291,2.353656175787515"
727,6,"48.84945445387565,2.374136952657516"
728,6,"48.865648253947334,2.3336988680790975"
729,7,"48.89849564463084,2.323318396671916"
730,5,"48.88640838614961,2.3564798163673126"
731,6,"48.85577838131191,2.364767181368712"
732,6,"48.844910004183554,2.3487465463938784"
733,6,"48.84135653344098,2.35456573545106"
734,7,"48.87750910886299,2.3126179369657454"
735,6,"48.86606481365723,2.3389195355463563"
736,6,"48.868673856738035,2.325487512410379"
737,5,"48.85852261582279,2.390174118812948"
738,6,"48.876050939276645,2.3211077618290292"
739,6,"48.83713355220283,2.38372752511268"
740,6,"48.89523685200604,2.3273361738423994"
741,8,"48.829242325035445,2.3087233511713348"
742,6,"48.88210279180287,2.3344569851468524"
743,6,"48.899764756986016,2.3722174758655044"
744,6,"48.8922546609041,2.331992154668115"
745,6,"48.85411993136636,2.3355305531674113"
746,6,"48.85174711310609,2.331178589489746"
747,7,"48.82409151555163,2.370459503978127"
748,13,"48.86846996838659,2.3398021064880297"
749,6,"48.83915540118391,2.4005347132557544"
750,6,"48.82173771589712,2.3689527299573307"
751,6,"48.83275317599653,2.3446401216774952"
752,6,"48.84270681982672,2.3427751911445576"
753,6,"48.849326900573075,2.366361269248719"
754,6,"48.8360391578057,2.346865684221437"
755,6,"48.84769740687395,2.3426652449816077"
756,6,"48.866621331355894,2.376444151639356"
757,14,"48.893482706156696,2.3401606628971123"
758,6,"48.850834555185735,2.362358705750451"
759,11,"48.829933810493934,2.3671002320841907"
760,6,"48.82706040063533,2.3120312468938686"
761,6,"48.86755818887953,2.3988076107551675"
762,5,"48.84666075573768,2.2889382215290497"
763,6,"48.891154714518954,2.328745326176951"
764,7,"48.84522505581077,2.3021528061536345"
765,8,"48.82948723745301,2.345746156633111"
766,6,"48.867303288195515,2.3543869725178475"
767,6,"48.86483769107474,2.3320432805442453"
768,6,"48.830375631080976,2.276402039011454"
769,8,"48.821836958654416,2.3727084027157956"
770,5,"48.873976772737215,2.4052292493538356"
771,6,"48.86611625631053,2.338696858527008"
772,6,"48.85341594963152,2.36177972738334"
773,6,"48.85580997944178,2.38316075165027"
774,6,"48.87067937240367,2.319592289958821"
775,8,"48.83616907217934,2.4027755441232226"
776,6,"48.85948780789099,2.380859414282956"
777,6,"48.83263962501676,2.3866597452162446"
778,8,"48.84512410737745,2.305646481761652"
779,6,"48.85526433417079,2.3558577173931923"
780,6,"48.84579434540179,2.341391800106452"
781,6,"48.84344217516798,2.341651697922216"
782,6,"48.85378062321368,2.3336825788857367"
783,6,"48.824590611567395,2.3466303872667544"
784,6,"48.86417394872025,2.3706000875649855"
785,6,"48.86436253286754,2.391313627428775"
786,6,"48.846525960915066,2.39993371355883"
787,6,"48.86482691046646,2.382940206072775"
788,6,"48.863866913940015,2.3357029374609706"
789,6,"48.843336067993214,2.337551645047719"
790,6,"48.82169115530845,2.3430623577974976"
791,6,"48.88652763229761,2.301393432057973"
792,6,"48.86417035666792,2.3420845689650194"
793,6,"48.85885448924776,2.3833907570441966"
794,6,"48.891296422869296,2.368831393038767"
795,6,"48.87782409462754,2.316586846406055"
796,6,"48.85607365210915,2.359148380188709"
797,6,"48.85631639631148,2.292753365963701"
798,6,"48.849824854426046,2.364434379743787"
799,5,"48.888098710630715,2.343407029973286"
800,5,"48.8734409833389,2.3910746492039534"
801,6,"48.87382534723265,2.3448910636405187"
802,5,"48.82228505243702,2.3492397280138047"
803,6,"48.82756603827583,2.3233806433199664"
804,5,"48.84885569672581,2.4028475991721723"
805,6,"48.853838155680165,2.3675063930136626"
806,5,"48.900366639395294,2.3347386935551073"
807,6,"48.85418062887649,2.275716437676933"
808,5,"48.83884973332949,2.389268218468463"
809,6,"48.888055009084525,2.3904988924377086"
810,5,"48.89773178634348,2.347134380832339"
811,7,"48.89280323706423,2.3266392916759546"
812,6,"48.89186839334379,2.3262948140096524"
813,6,"48.87997454642779,2.3045166507991"
814,6,"48.891284655552376,2.363404683035547"
815,5,"48.868746088583116,2.3016828059455503"
816,6,"48.84307972836579,2.384165288249268"
817,6,"48.87687774704753,2.2898265912699496"
818,6,"48.85979363545867,2.3700445400440726"
819,6,"48.88582106926305,2.386856860711991"
820,6,"48.82949963543058,2.3792459282141305"
821,5,"48.87548611252965,2.3831893689719132"
822,6,"48.88839994982286,2.3478622994528955"
823,5,"48.875799621672186,2.4008557561603676"
824,6,"48.84599567804735,2.3433403124046936"
825,6,"48.84137196534041,2.333012894887305"
826,5,"48.86982008511398,2.363542843649598"
827,6,"48.89494471230296,2.340635404840528"
828,6,"48.88437915387358,2.3012508085316186"
829,6,"48.88046459609256,2.3401983624243634"
830,6,"48.848721076207966,2.3024515233034206"
831,6,"48.878696453345356,2.3456984002897507"
832,6,"48.87998147427542,2.3475830938985602"
833,7,"48.83109223902397,2.3717477989564246"
834,6,"48.839914044359695,2.25480141302848"
835,6,"48.85646971416477,2.334876186110154"
836,6,"48.86324470342547,2.405445400258176"
837,6,"48.87040791140311,2.340767535022432"
838,6,"48.83646188784987,2.3099619940247575"
839,6,"48.84079061595457,2.3452350074651065"
840,6,"48.83274767827818,2.3511398668270775"
841,6,"48.839270180679435,2.298773594447881"
842,6,"48.83460468148489,2.3213605550468825"
843,6,"48.85113030882682,2.2724343689110404"
844,6,"48.85226544264026,2.2965738175421073"
845,6,"48.829847356786956,2.3130027001327624"
846,6,"48.8537334453009,2.296784231155475"
847,6,"48.844228322368245,2.281338473242641"
848,6,"48.83940334295488,2.287236245216668"
849,6,"48.8346886206793,2.3380167990066663"
850,6,"48.83143119385143,2.3268637223326847"
851,8,"48.87659897830513,2.31238507591641"
852,6,"48.85093501939195,2.39607905161699"
853,6,"48.85719739637979,2.2832344121398602"
854,6,"48.84853646571965,2.3088725988284096"
855,6,"48.84777886890106,2.3269335293324063"
856,6,"48.843239346714874,2.3314766283471977"
857,6,"48.851316696930475,2.4042818626930145"
858,5,"48.85411167146645,2.3074786261295066"
859,6,"48.83123255122667,2.319806306289209"
860,6,"48.83860646846396,2.357233986674852"
861,6,"48.84853611642725,2.33169974905319"
862,6,"48.82658667853276,2.334665623410297"
863,6,"48.83597350407274,2.394262299311875"
864,6,"48.86148111990001,2.2850470837127337"
865,7,"48.83514990904862,2.305730568488539"
866,7,"48.833745657483135,2.395048075018929"
867,6,"48.83798775770215,2.370472872582681"
868,6,"48.882218158585296,2.3116891809275537"
869,6,"48.896091224785984,2.379083675775207"
870,6,"48.89111485864815,2.299162450959163"
871,6,"48.86621497932627,2.340700237712871"
872,6,"48.87881628658781,2.398097607096052"
873,6,"48.869519566003994,2.298500393881146"
874,6,"48.89038060601531,2.3288791201959116"
875,6,"48.869752391721654,2.3258467679065955"
876,6,"48.85706679922334,2.3419048071732913"
877,6,"48.865322965377715,2.329677734124189"
878,6,"48.84276179622825,2.2688256768653527"
879,6,"48.86560176080384,2.3336507076274615"
880,6,"48.88718873388358,2.327184995486747"
881,6,"48.86079364555775,2.360116998479206"
882,6,"48.84007097410053,2.3347007357180978"
883,6,"48.84102615385052,2.398673972952138"
884,6,"48.87448366051662,2.311685185411189"
885,6,"48.85243216999602,2.3465125571567462"
886,6,"48.86616525893068,2.3354159844659454"
887,5,"48.86144475663975,2.3992011042056305"
888,6,"48.85485988220689,2.3055295189176177"
889,6,"48.83704694333172,2.337405118183351"
890,6,"48.87200027946655,2.3659899125474997"
891,6,"48.87089180059399,2.337444295362306"
892,6,"48.82515192323113,2.304069286994271"
893,6,"48.86582083568532,2.356757844500371"
894,6,"48.838670610001095,2.3225972711818477"
895,6,"48.83343494355057,2.351524482000993"
896,7,"48.892727930442014,2.33994592419316"
897,6,"48.8533207985896,2.3341839155161686"
898,6,"48.86426757756883,2.3647640641890555"
899,8,"48.84505711691662,2.400024850811032"
900,6,"48.83764571798851,2.3974036116624395"
901,6,"48.824646630227534,2.341341274469747"
902,5,"48.82447415988124,2.34884481102062"
903,9,"48.830882678179705,2.3778279698251015"
904,6,"48.84550185022105,2.3457569784039665"
905,6,"48.84988875351918,2.361506041904324"
906,6,"48.836598421348924,2.304880038082642"
907,6,"48.86687557720711,2.3403305324271564"
908,6,"48.878634697155896,2.317630302437191"
909,6,"48.85551143505442,2.361050820051688"
910,6,"48.84896194372538,2.392982342838412"
911,6,"48.84662417249379,2.3817663078529367"
912,6,"48.86682647171881,2.276685183577317"
913,5,"48.84282752709708,2.2988367129271094"
914,6,"48.83656989949875,2.320112583925334"
915,6,"48.83638482739769,2.3119857189916164"
916,6,"48.83647302677602,2.2803109828324013"
917,6,"48.83587167855456,2.289842332384435"
918,6,"48.82994305785607,2.303493436513767"
919,5,"48.82800379994067,2.3216837019143557"
920,5,"48.88523868907472,2.301462691931424"
921,6,"48.84926807318205,2.3317574137407915"
922,6,"48.8563901653002,2.3028081383897585"
923,6,"48.88945812861949,2.3200301279593085"
924,6,"48.88560596909111,2.3080126641189227"
925,6,"48.848216415786474,2.3759577328043133"
926,6,"48.87790739533628,2.374171128589784"
927,6,"48.89420096168838,2.3224353447773174"
928,6,"48.887781590120994,2.311555736403901"
929,6,"48.8655674917803,2.2957683890721308"
930,6,"48.8916644822318,2.3037470956990176"
931,7,"48.89403696966979,2.36467138433786"
932,6,"48.878905046090686,2.401210126935306"
933,6,"48.889227765958324,2.342392987021583"
934,5,"48.89840758415948,2.3666760825519786"
935,5,"48.89547909617623,2.3483092370373106"
936,5,"48.87037749359513,2.3656824061534216"
937,6,"48.82389969415035,2.361764982816825"
938,5,"48.8702784767178,2.381607042143326"
939,6,"48.85177550095855,2.327782349375778"
940,6,"48.863479656011286,2.3691641712894542"
941,6,"48.86776914025608,2.359716312254441"
942,6,"48.86495194183948,2.286609345230052"
943,6,"48.88587334698508,2.31414672950654"
944,5,"48.878908034712545,2.371364417729146"
945,6,"48.83526270134519,2.2554586081205237"
946,6,"48.85519940836496,2.362814919041049"
947,6,"48.857093915194405,2.366064887404705"
948,6,"48.89335431761848,2.3172623392424763"
949,6,"48.88314306332274,2.3947637567741578"
950,6,"48.8265893847566,2.3274007226478823"
951,6,"48.83685431736095,2.35599021895128"
952,6,"48.895418741547616,2.3379028040387984"
953,6,"48.89217818109856,2.3430378094053568"
954,6,"48.892842820053154,2.343581997408445"
955,6,"48.87984376734321,2.299122587112069"
956,6,"48.881471399582544,2.301718595448832"
957,6,"48.879022050557374,2.2875372313051954"
958,6,"48.88193511194157,2.3686999173384757"
959,6,"48.881118482100845,2.3360625742584467"
960,6,"48.87952404822908,2.339526174826681"
961,6,"48.876588266001015,2.3674617832711924"
962,6,"48.87598736819351,2.370386393459409"
963,6,"48.88602650072086,2.3989679362851515"
964,6,"48.869065072756456,2.364414448516292"
965,6,"48.878518377527556,2.301019438028756"
966,7,"48.87843330353143,2.312421757418394"
967,6,"48.866991444697064,2.301580147476856"
968,6,"48.874459622447496,2.366026622083748"
969,5,"48.83495156861942,2.3548387679198424"
970,6,"48.85069079437456,2.3425663181065364"
971,6,"48.8509357739932,2.3395610120183026"
972,6,"48.85848743288589,2.3076352929542745"
973,7,"48.83722615524916,2.3551858497400753"
974,3,"48.8567574298582,2.402598046771089"
975,6,"48.84322138480906,2.3911521574761108"
976,6,"48.84138163694061,2.392161395173898"
977,6,"48.861571380208396,2.319466751526474"
978,6,"48.82686616802851,2.2936267210359325"
979,6,"48.86842758953995,2.274573062935522"
980,6,"48.83825334008405,2.3416390792338047"
981,6,"48.88671979433443,2.34673826641377"
982,8,"48.82869925253335,2.381986419394039"
983,6,"48.85900545092738,2.381097396475591"
984,7,"48.87301078081681,2.410298629428957"
985,8,"48.864915172356824,2.407213847248629"
986,5,"48.826301645398864,2.3441576831242252"
987,6,"48.86454213552649,2.273346180943502"
988,6,"48.86109370272664,2.2668426490324984"
989,6,"48.83064796187377,2.311599246181183"
990,6,"48.8305238185276,2.3139919976587615"
991,6,"48.83380273097317,2.2976902825024696"
992,6,"48.879517634877715,2.314530857321587"
993,6,"48.845344279821596,2.2823676045848296"
994,7,"48.83023388360616,2.364550404437744"
995,6,"48.83385453098438,2.406605707355279"
996,11,"48.85530826945425,2.370477675501255"
997,6,"48.824398306714855,2.3679467888788404"
998,6,"48.860236748383144,2.32361416536975"
999,12,"48.8670557154782,2.33523657552942"
1000,6,"48.89718181854422,2.342092290882217"
1001,6,"48.89649490544418,2.341781089525284"
1002,6,"48.8958152758035,2.346639098895882"
1003,6,"48.83045687259277,2.336657584597063"
1004,6,"48.863920812484174,2.3340789375106676"
1005,6,"48.88055580556213,2.3995671957312426"
1006,6,"48.882470189602564,2.3055697959569774"
1007,5,"48.88832005443725,2.349836585877813"
1008,6,"48.885551045931045,2.288768001315326"
1009,6,"48.831652952003544,2.385560052245978"
1010,6,"48.84036119271388,2.4006878437463373"
1011,5,"48.87163599654746,2.3812213408742453"
1012,6,"48.8668272776332,2.394145060640098"
1013,6,"48.87668640067769,2.3919045319388617"
1014,6,"48.86581868935067,2.3583374100383305"
1015,6,"48.836067221902056,2.384655087505882"
1016,5,"48.87363264233812,2.3064363887930295"
1017,6,"48.85586805079993,2.354229649691383"
1018,6,"48.82435801339158,2.386851349218139"
1019,6,"48.859476699838574,2.34061785038903"
1020,6,"48.87693005325748,2.334385861016341"
1021,6,"48.839476495616054,2.283971776166216"
1022,6,"48.883800975637726,2.374268662547539"
1023,6,"48.8855389288658,2.2987680383335043"
1024,6,"48.88216404544944,2.332208923940887"
1025,7,"48.89584899715971,2.329655859208119"
1026,6,"48.89003225668587,2.383556955844111"
1027,6,"48.84422093935174,2.3204283127896934"
1028,6,"48.891521663608685,2.3308697805249032"
1029,7,"48.870765822342804,2.3684809515168768"
1030,6,"48.84910912531882,2.3500140136799605"
1031,6,"48.84634192088998,2.3490333594264174"
1032,8,"48.853079434314154,2.363746497517282"
1033,8,"48.88819889405651,2.293622288785368"
1034,8,"48.82453352278355,2.3633592457096047"
1035,6,"48.88448473114908,2.31122698074892"
1036,6,"48.88681473042495,2.305551660853988"
1037,6,"48.87497305156533,2.30446656075045"
1038,6,"48.849548341587194,2.3531028258389703"
1039,6,"48.828053455246675,2.2982924689864297"
1040,6,"48.85188537401793,2.3352320998602347"
1041,6,"48.87242390322675,2.3265303458829316"
1042,6,"48.87296266872086,2.3544699295473954"
1043,6,"48.86557000608538,2.33350846299252"
1044,6,"48.84636944214183,2.3700279174710013"
1045,6,"48.83075775736037,2.334343566626382"
1046,6,"48.8738172129807,2.350688832911477"
1047,7,"48.88342254468509,2.3301154067939422"
1048,5,"48.81895800665051,2.3291822819057026"
1049,6,"48.87158890844503,2.330405734597843"
1050,6,"48.85995145503966,2.3008021925340607"
1051,6,"48.84013432389573,2.314901185810923"
1052,6,"48.85656651693555,2.3207448997058013"
1053,6,"48.86639258681707,2.2862417548707024"
1054,6,"48.8700287723296,2.34073908588001"
1055,6,"48.81822918834424,2.358886817035595"
1056,7,"48.84948838147579,2.377536924979124"
1057,6,"48.86568427412391,2.337271138241048"
1058,6,"48.820406417907314,2.3652997544125385"
1059,6,"48.84020805018581,2.4024276984075965"
1060,6,"48.82110255686373,2.346478242422931"
1061,6,"48.83819691763466,2.273269849468101"
1062,6,"48.86004257315631,2.2730206599496676"
1063,6,"48.84689858432659,2.3465341684946415"
1064,6,"48.894206374549114,2.3775201198701024"
1065,5,"48.89579071154903,2.381674754817708"
1066,6,"48.856068229236094,2.361252737018714"
1067,6,"48.88178154870114,2.3809336480989147"
1068,5,"48.87457310163579,2.393011240351091"
1069,5,"48.86648067647291,2.3156629986621344"
1070,5,"48.87468899842563,2.3062978863603045"
1071,6,"48.83780280004262,2.295256788810966"
1072,6,"48.87165951571755,2.389145831435642"
1073,5,"48.83128806627011,2.3872622151079765"
1074,6,"48.875200349829086,2.373267914824536"
1075,6,"48.856026480051966,2.2930121109661523"
1076,6,"48.82793604896523,2.3695205949436233"
1077,6,"48.87113443176963,2.338163760550133"
1078,6,"48.89638461886237,2.3434663057938545"
1079,10,"48.898997788338086,2.329840137275001"
1080,6,"48.88024246693304,2.394346907927235"
1081,6,"48.886156194084606,2.336314257243808"
1082,6,"48.886141632421946,2.3592429040582643"
1083,6,"48.89255093874284,2.3193286883731234"
1084,4,"48.88869045732643,2.342105681256376"
1085,6,"48.88407090147144,2.290918434553454"
1086,6,"48.87956955031405,2.399389662862811"
1087,6,"48.881006302650405,2.3089936881518107"
1088,6,"48.877606729916224,2.2879558118083656"
1089,6,"48.87797530870366,2.291493260510135"
1090,5,"48.893201868384935,2.319845100362446"
1091,6,"48.83266329526039,2.3894403660715393"
1092,5,"48.88867819091176,2.373133518716021"
1093,5,"48.877792410058554,2.337142369013377"
1094,5,"48.820650765350386,2.321567439490877"
1095,5,"48.86555704579197,2.310161866143328"
1096,7,"48.86189710276307,2.311529730592175"
1097,5,"48.84897249412669,2.287348541804648"
1098,6,"48.848565742566265,2.2757621892217155"
1099,6,"48.88238721922784,2.3138799656162647"
1100,6,"48.864848542950845,2.299156431456703"
1101,5,"48.84121518581904,2.263854331877452"
1102,6,"48.89672552614656,2.3272171358020355"
1103,6,"48.86238830302983,2.37359613644883"
1104,6,"48.87955279863837,2.2935490252247632"
1105,6,"48.88760823775441,2.388789125706135"
1106,6,"48.87295487616551,2.3744790064048416"
1107,6,"48.877159111424206,2.3229265901114085"
1108,15,"48.84377441884806,2.2773104040155174"
1109,6,"48.8348826669407,2.3267497612670303"
1110,6,"48.876265298039364,2.3128094614204064"
1111,6,"48.86964537706483,2.293921235387528"
1112,6,"48.8751962985796,2.367295490738817"
1113,7,"48.85700698498686,2.37125598928807"
1114,6,"48.85075662950413,2.4007979573797065"
1115,6,"48.848123429189584,2.4024873722784617"
1116,6,"48.8503679033928,2.3186804282226956"
1117,6,"48.85249986685755,2.3791579659222606"
1118,6,"48.850191204246194,2.3317545332767406"
1119,6,"48.84904264603535,2.339280637197737"
1120,6,"48.85255510395934,2.407791049797433"
1121,6,"48.84107516120921,2.3872185002417092"
1122,6,"48.842400687587066,2.265547702269502"
1123,6,"48.8422979934482,2.410845470730991"
1124,6,"48.860046918818504,2.285467620945004"
1125,7,"48.84083576374643,2.305977084842173"
1126,6,"48.873473237415766,2.370287747458039"
1127,6,"48.84800702410312,2.271644395142105"
1128,6,"48.86066736944739,2.2821747441887426"
1129,7,"48.83558375866736,2.3599930327399856"
1130,7,"48.82912497402135,2.30259284639742"
1131,6,"48.82488011447317,2.323660793010917"
1132,6,"48.875790195545804,2.319656357209607"
1133,6,"48.85054424795698,2.312362150581966"
1134,6,"48.8858761436663,2.343342633407394"
1135,6,"48.863860742046874,2.3622155427935714"
1136,6,"48.899048016234055,2.3780612950647115"
1137,8,"48.8652150282647,2.4049372583026507"
1138,6,"48.828064854729455,2.358522956696675"
1139,6,"48.85329875540766,2.3594883670449454"
1140,6,"48.84152294942222,2.3496166359418096"
1141,7,"48.83707169201504,2.3499229587931896"
1142,6,"48.84242362786345,2.2942439677912096"
1143,6,"48.84681907043089,2.2921182678471435"
1144,6,"48.8425813788227,2.314390497058836"
1145,6,"48.84196338893031,2.298287274459215"
1146,6,"48.83622266441774,2.2608983398204843"
1147,6,"48.87809427653764,2.329301482884273"
1148,6,"48.83179681981212,2.3445637107829578"
1149,6,"48.8447187320014,2.2718599299224413"
1150,6,"48.875170347049476,2.2901269284855235"
1151,6,"48.843537901468316,2.32798247750242"
1152,7,"48.866860534469836,2.3956988116007385"
1153,6,"48.848405447500305,2.3186714719084245"
1154,6,"48.83820904891199,2.358476177047833"
1155,6,"48.84131182844381,2.2769911533478857"
1156,6,"48.85035671868558,2.38725746194418"
1157,6,"48.86109569328943,2.3106835865418107"
1158,6,"48.85874487894612,2.324951746805755"
1159,6,"48.8266779813539,2.3335707056527903"
1160,6,"48.84135556916238,2.3912476532849976"
1161,6,"48.86042952025427,2.2720430963128764"
1162,6,"48.858400935695165,2.2848151295082446"
1163,6,"48.87617792504311,2.3345426994191327"
1164,6,"48.82196283170684,2.3303022729320686"
1165,6,"48.87368224878645,2.3363469844162674"
1166,6,"48.890637519776945,2.3824328599641844"
1167,7,"48.89296760587497,2.374256203176862"
1168,6,"48.825857353996554,2.3759795271528605"
1169,6,"48.873959631897975,2.4130553673677424"
1170,6,"48.847510368760766,2.343813197198325"
1171,6,"48.85474900432502,2.3329921604633754"
1172,6,"48.844754426752814,2.407782028502317"
1173,6,"48.849594421777944,2.3519333349368727"
1174,6,"48.85405146099765,2.362243844267376"
1175,6,"48.84547553696504,2.3502154391772647"
1176,7,"48.83883349946259,2.278248491041907"
1177,6,"48.8535000607925,2.3255343128025188"
1178,6,"48.87579019180599,2.3476952786705354"
1179,6,"48.85232368261426,2.326276726223417"
1180,6,"48.84511648385285,2.2896173951073036"
1181,6,"48.872104907574474,2.3125117616850472"
1182,6,"48.872253259187396,2.328653798156442"
1183,6,"48.866867642019265,2.3024611928744507"
1184,7,"48.829737985897346,2.3633206610097313"
1185,6,"48.83038417222318,2.340457542232604"
1186,6,"48.85620741077432,2.358258391232882"
1187,6,"48.88846930092632,2.367537875693311"
1188,6,"48.88286253598584,2.3362567949919586"
1189,6,"48.84222097529278,2.392759039139392"
1190,6,"48.8546358436911,2.283496946034018"
1191,5,"48.85577873342558,2.407365536987505"
1192,6,"48.89276566413931,2.369539333672231"
1193,6,"48.832853419847204,2.307106362567315"
1194,6,"48.872722076335265,2.2801350921302044"
1195,6,"48.86510180338685,2.407231392409396"
1196,6,"48.88631795293076,2.3927410849517257"
1197,6,"48.830282333543046,2.316478703054999"
1198,6,"48.86419389272592,2.3343139160073925"
1199,6,"48.877298946864585,2.3545619441052343"
1200,5,"48.86914612318757,2.4029887100284837"
1201,6,"48.839915795267295,2.396455072340194"
1202,6,"48.82897755238215,2.3322092962916177"
1203,21,"48.869137494654936,2.324579057214549"
1204,6,"48.88245775164598,2.366922537251882"
1205,6,"48.84244186269434,2.4084626743413167"
1206,6,"48.89913856663376,2.3407437726641254"
1207,6,"48.855308118823615,2.3645866509548603"
1208,6,"48.888334775284996,2.3319740886058176"
1209,6,"48.829347060507665,2.364985838290544"
1210,6,"48.8686290929937,2.349646191800358"
1211,6,"48.8410610485452,2.355747724205111"
1212,6,"48.85615556470072,2.336601829825578"
1213,6,"48.87520434930636,2.395009718948555"
1214,6,"48.866464149746626,2.3314007784676454"
1215,6,"48.88104265586921,2.371778819291136"
1216,6,"48.87395249849835,2.342404496145234"
1217,6,"48.87953392970238,2.3519993220170194"
1218,6,"48.85500670494239,2.365888826830766"
1219,6,"48.857270475682405,2.3043771818793837"
1220,6,"48.82554538117037,2.3793033416821374"
1221,6,"48.825091794598166,2.3360155648160124"
1222,6,"48.842184760157814,2.3411763329206936"
1223,6,"48.84523216842054,2.400160695286832"
1224,6,"48.860840965013374,2.34243593278421"
1225,6,"48.83760485751932,2.34643741832299"
1226,6,"48.856614986540606,2.382442989790808"
1227,6,"48.854830668798364,2.326138186039375"
1228,6,"48.82106578077875,2.3197005355170193"
